Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Free Cholesterol to Total Lipids in Very Large HDL percentage,270,22,248,0,270,248
Income (MTAG),270,270,0,0,270,0
Total protein levels (UKB data field 30860),270,270,0,0,270,0
Nicotine dependence symptom count,268,268,0,0,268,0
Cigarettes smoked per day,268,268,0,0,268,0
"high density lipoprotein cholesterol (HDLC, mean, inv-norm transformed)",268,268,0,0,268,0
Glutamine levels,267,40,227,0,267,227
Total lipids in medium HDL,267,28,239,0,267,239
Attention deficit hyperactivity disorder,266,266,0,0,266,0
HDL cholesterol levels (UKB data field 30760),265,265,0,0,265,0
Predicted visceral adipose tissue,265,265,0,0,265,0
Positive affect,265,265,0,0,265,0
Gamma glutamyltransferase levels (UKB data field 30730),264,264,0,0,264,0
FVC,264,264,0,0,264,0
Concentration of very large VLDL particles,264,62,202,0,264,202
Triglycerides in very large VLDL,263,25,238,0,263,238
Concentration of chylomicrons and extremely large VLDL particles,263,43,220,0,263,220
Gut microbial network clusters (Pink (at 1 year) x Household furry pet dog (1 Year) interaction,263,0,263,0,263,263
Body shape phenotype PC4,263,263,0,0,263,0
Phospholipids in HDL,263,42,221,0,263,221
Glycemic traits (multi-trait analysis),263,263,0,0,263,0
Gut microbial network clusters (Salmon (at 1 year) x Any Breastfeeding (Duration) interaction,263,0,263,0,263,263
Granulocyte percentage of myeloid white cells,262,262,0,0,262,0
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 1 year) x Exclusive Breastfeeding (6 Months) interaction,262,0,262,0,262,262
Autism spectrum disorder or schizophrenia,261,261,0,0,261,0
Body fat percentage (UKB data field 23099),261,261,0,0,261,0
Total concentration of lipoprotein particles,261,55,206,0,261,206
Free Cholesterol in HDL,261,36,225,0,261,225
Cholesterol to Total Lipids in Very Small VLDL percentage,261,31,230,0,261,230
"red cell diameter width (RDW, mean, inv-norm transformed)",260,260,0,0,260,0
Triglycerides to Total Lipids in IDL percentage,259,28,231,0,259,231
Triglycerides to Total Lipids in Small LDL percentage,259,21,238,0,259,238
Triglycerides in small LDL,258,30,228,0,258,228
Basal cell carcinoma,258,258,0,0,258,0
