Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Alcohol consumption (drinks per week) (MTAG),257,257,0,0,257,0
Cancer,256,256,0,0,256,0
Corneal resistance factor,254,254,0,0,254,0
Phospholipid levels in chylomicrons and extremely large VLDL,254,34,220,0,254,220
Smoking cessation,254,244,5,5,249,10
Hip circumference,252,161,91,0,252,91
Alanine levels,252,48,204,0,252,204
Triglycerides in medium LDL,252,21,231,0,252,231
"monocyte (absolute count, minimum, inv-norm transformed)",252,252,0,0,252,0
Glucose levels,251,135,116,0,251,116
Post-traumatic stress disorder,251,251,0,0,251,0
Central corneal thickness (MTAG),251,251,0,0,251,0
Pain intensity (NRS pain scale 0-11),250,250,0,0,250,0
Non-melanoma skin cancer,250,250,0,0,250,0
Free cholesterol levels in chylomicrons and extremely large VLDL,250,36,214,0,250,214
Cholesteryl Esters to Total Lipids in Medium HDL percentage,249,24,225,0,249,225
Gut microbiome abundance (class Tyzzerella sp. 3 (at 3 months) x Any Breastfeeding (3 Months) interaction,249,0,249,0,249,249
Diisocyanate-induced asthma,248,248,0,0,248,0
Triglycerides to Total Lipids in Very Small VLDL percentage,248,33,215,0,248,215
"Hemoglobin A1c (HbA1c, mean, inv-norm transformed)",248,248,0,0,248,0
Frailty (Factor 3 - Multimorbidity),248,248,0,0,248,0
Triglycerides to Total Lipids in Medium VLDL percentage,248,34,214,0,248,214
C-reactive protein levels (UKB data field 30710),247,247,0,0,247,0
Leg fat percentage right (UKB data field 23111),247,247,0,0,247,0
Phospholipids in medium HDL,246,29,217,0,246,217
"high density lipoprotein cholesterol (HDLC, maximum, inv-norm transformed)",246,246,0,0,246,0
"high density lipoprotein cholesterol (HDLC, minimm, inv-norm transformed)",245,245,0,0,245,0
Edge-level brain connectivity (multivariate analysis),245,245,0,0,245,0
Tonsillectomy,245,245,0,0,245,0
Systemic lupus erythematosus (MTAG),244,244,0,0,244,0
Tinnitus,244,244,0,0,244,0
Smoking status,244,244,0,0,244,0
"monocyte (fraction, maximum, inv-norm transformed)",243,243,0,0,243,0
Free Cholesterol to Total Lipids in Small LDL percentage,243,16,227,0,243,227
Inguinal hernia,243,149,94,0,243,94
Concentration of large VLDL particles,243,61,182,0,243,182
Triglycerides in IDL,239,20,219,0,239,219
Phospholipids to Total Lipids in Large HDL percentage,239,17,222,0,239,222
Medication use for hypertension (number of purchases),238,238,0,0,238,0
Sum eosinophil basophil counts,237,237,0,0,237,0
Multi-trait sum score,237,237,0,0,237,0
"creatinine (mean, inv-norm transformed)",236,236,0,0,236,0
Subcortical volume (MOSTest),236,236,0,0,236,0
Leg fat percentage left (UKB data field 23115),236,236,0,0,236,0
Age of smoking initiation (MTAG),236,236,0,0,236,0
"eosinophil (absolute count, maximum, inv-norm transformed)",236,236,0,0,236,0
Common executive function,235,235,0,0,235,0
Fat-free mass,235,235,0,0,235,0
"Hemoglobin A1c (HbA1c, maximum, inv-norm transformed)",234,234,0,0,234,0
Phospholipids to Total Lipids in Very Large HDL percentage,234,23,211,0,234,211
"Allergic disease (asthma, hay fever or eczema)",234,234,0,0,234,0
"Hemoglobin A1c (HbA1c, minimum, inv-norm transformed)",234,234,0,0,234,0
Total lipids in small HDL,233,27,206,0,233,206
Smoking initiation (MTAG),233,233,0,0,233,0
Atrial fibrillation (MTAG),233,233,0,0,233,0
Chronic obstructive pulmonary disease,233,215,18,0,233,18
"white blood cell count (WBC, maximum, inv-norm transformed)",233,233,0,0,233,0
Cholesteryl Esters to Total Lipids in Very Large VLDL percentage,232,17,215,0,232,215
Serum 25-Hydroxyvitamin D levels,232,232,0,0,232,0
Cholesterol to Total Lipids in IDL percentage,232,29,203,0,232,203
Free Cholesterol to Total Lipids in Small VLDL percentage,232,25,207,0,232,207
Cholesterol to Total Lipids in Very Large VLDL percentage,232,19,213,0,232,213
Phospholipids in small HDL,232,27,205,0,232,205
JT interval,232,2,230,0,232,230
Rate of cognitive decline in Alzheimer's disease,231,231,0,0,231,0
Glioma (high-grade),231,231,0,0,231,0
Baseline memory in impaired cognition,230,230,0,0,230,0
Aerodigestive squamous cell cancer (pleiotropy),229,229,0,0,229,0
"Glucose (fasting status unknown, mean, inv-norm transformed)",229,229,0,0,229,0
Total lipids in very large VLDL,229,27,202,0,229,202
Total lipid levels in chylomicrons and extremely large VLDL,227,26,201,0,227,201
Aspartate aminotransferase to alanine aminotransferase ratio,227,0,227,0,227,227
"heart rate (HR, minimum, inv-normal transformed)",226,226,0,0,226,0
Eosinophil percentage of granulocytes,226,226,0,0,226,0
Triglycerides in medium HDL,225,21,204,0,225,204
"Body mass index (BMI, minimum, inv-normal transformed)",225,225,0,0,225,0
Triglycerides in large LDL,225,18,207,0,225,207
Hand grip strength,225,225,0,0,225,0
Cholesterol levels in chylomicrons and extremely large VLDL,225,40,185,0,225,185
Blond vs. brown/black hair color,225,225,0,0,225,0
Arm fat percentage left (UKB data field 23123),225,225,0,0,225,0
Concentration of small VLDL particles,224,52,172,0,224,172
Glaucoma (primary open-angle),224,47,171,6,218,177
Triglyceride levels in chylomicrons and extremely large VLDL,223,33,190,0,223,190
Phospholipids in large VLDL,223,27,196,0,223,196
Triglycerides in VLDL,223,26,197,0,223,197
Height (weighted GWA),223,223,0,0,223,0
COVID-19 (hospitalized vs population),223,1,222,0,223,222
Basophil percentage of white cells,222,222,0,0,222,0
Phospholipids to Total Lipids in Small VLDL percentage,222,30,192,0,222,192
Triglyceride percentage of total lipids in intermediate-density lipoprotein,222,222,0,0,222,0
Triglycerides to Total Lipids in Large LDL percentage,222,21,201,0,222,201
Baseline memory,222,222,0,0,222,0
"systolic blood pressure (SBP, mean, inv-normal transformed)",222,222,0,0,222,0
Arm fat percentage right (UKB data field 23119),222,222,0,0,222,0
Neutrophil percentage of granulocytes,221,221,0,0,221,0
Aortic stenosis (MTAG),221,221,0,0,221,0
Cholesteryl ester levels in chylomicrons and extremely large VLDL,221,39,182,0,221,182
Concentration of small HDL particles,221,39,182,0,221,182
Triglycerides to Total Lipids in Small VLDL percentage,220,27,193,0,220,193
"mean corpuscular hemoglobin concentration (MCHC, mean, inv-norm transformed)",220,220,0,0,220,0
Osteoarthritis (hip),219,32,187,0,219,187
Forced expiratory volume in 1 second FEV1 Z score (UKB data field 20256),218,218,0,0,218,0
"estimated glomerular filtration rate (eGFR, mean, inv-norm transformed)",218,218,0,0,218,0
Triglycerides in HDL,218,25,193,0,218,193
"monocyte (absolute count, maximum, inv-norm transformed)",218,218,0,0,218,0
Life satisfaction,218,218,0,0,218,0
Biological sex,217,217,0,0,217,0
Abdominal aortic aneurysm,217,170,47,0,217,47
Coronary artery disease (MTAG),217,217,0,0,217,0
Triglycerides in LDL,217,22,195,0,217,195
High myopia,217,217,0,0,217,0
Pulse rate (UKB data field 102),216,216,0,0,216,0
Phospholipids in very large VLDL,216,29,187,0,216,187
Noncognitive aspects of educational attainment,216,216,0,0,216,0
Triglycerides in medium VLDL,216,33,183,0,216,183
Phosphatidylcholine levels,216,59,157,0,216,157
Phospholipids to Total Lipids in Very Small VLDL percentage,215,16,199,0,215,199
Respiratory disease (confirmatory factor analysis Factor 11),215,215,0,0,215,0
"creatinine (minimum, inv-norm transformed)",215,215,0,0,215,0
Fasting glucose,214,69,145,0,214,145
QRS duration,213,14,199,0,213,199
"neutrophil (absolute count, minimum, inv-norm transformed)",213,213,0,0,213,0
"diastolic blood pressure (DBP, mean, inv-normal transformed)",213,213,0,0,213,0
Baseline memory in normal cognition,212,212,0,0,212,0
Knee osteoarthritis,211,27,184,0,211,184
"hematocrit (maximum, inv-norm transformed)",211,211,0,0,211,0
Calcium levels (UKB data field 30680),211,211,0,0,211,0
Adventurousness,210,210,0,0,210,0
Medication use (calcium channel blockers),210,210,0,0,210,0
Free Cholesterol to Total Lipids in Medium VLDL percentage,210,23,187,0,210,187
Total lipids in large VLDL,210,29,181,0,210,181
Ratio of apolipoprotein B to apolipoprotein A1 levels,209,64,145,0,209,145
Total cholines levels,208,39,169,0,208,169
High light scatter reticulocyte count (UKB data field 30300),208,207,1,0,208,1
"neutrophil (absolute count, mean, inv-norm transformed)",208,208,0,0,208,0
Neurociticism,208,208,0,0,208,0
Cholesterol to Total Lipids in Small VLDL percentage,208,23,185,0,208,185
Free cholesterol in small HDL,207,19,188,0,207,188
Triglycerides in large VLDL,207,20,187,0,207,187
Bone density (confirmatory factor analysis Factor 19),207,207,0,0,207,0
Cholesterol to Total Lipids in Small HDL percentage,207,26,181,0,207,181
Alcohol consumption (drinks per week),206,206,0,0,206,0
Free cholesterol in large VLDL,206,27,179,0,206,179
Alzheimer's disease or gastroesophageal reflux disease,206,206,0,0,206,0
Free cholesterol in very large VLDL,206,25,181,0,206,181
Sum basophil neutrophil counts,206,206,0,0,206,0
Sarcoidosis,206,206,0,0,206,0
"mean corpuscular hemoglobin concentration (MCHC, maximum, inv-norm transformed)",205,205,0,0,205,0
Triglycerides to Total Lipids in Medium LDL percentage,205,15,190,0,205,190
"neutrophil (fraction, minimum, inv-norm transformed)",205,205,0,0,205,0
Medication use (thyroid preparations),205,205,0,0,205,0
Endometriosis,205,89,116,0,205,116
Sex hormone-binding globulin levels in postmenopausal women,204,204,0,0,204,0
Cholesterol levels (UKB data field 30690),204,204,0,0,204,0
Waist circumference (UKB data field 48),204,204,0,0,204,0
Myeloid white cell count,203,203,0,0,203,0
Free Cholesterol to Total Lipids in Small HDL percentage,203,41,162,0,203,162
Phosphoglycerides levels,202,48,154,0,202,154
"Glucose (fasting status unknown, maximum, inv-norm transformed)",202,202,0,0,202,0
Retinal vascular fractal density,202,202,0,0,202,0
Cholesterol in Small HDL,201,17,184,0,201,184
Cholesteryl Esters in Small HDL,201,13,188,0,201,188
"triglyceride (mean, inv-norm transformed)",200,200,0,0,200,0
COVID-19 (hospitalized vs not hospitalized),199,3,196,0,199,196
Random glucose levels,198,0,198,0,198,198
Opioid addiction,198,198,0,0,198,0
Sleep duration,198,101,97,0,198,97
Phospholipids to Total Lipids in Large VLDL percentage,198,14,184,0,198,184
Citrate levels,197,66,131,0,197,131
Cholesteryl Esters to Total Lipids in Large VLDL percentage,197,22,175,0,197,175
Sum neutrophil eosinophil counts,196,196,0,0,196,0
Cortical surface area (MOSTest),196,196,0,0,196,0
Triglycerides in very large HDL,196,23,173,0,196,173
"monocyte (fraction, minimum, inv-norm transformed)",196,196,0,0,196,0
Omega-3 fatty acids levels,196,19,177,0,196,177
"neutrophil (fraction, mean, inv-norm transformed)",196,196,0,0,196,0
Leisure sedentary behaviour (television watching),195,195,0,0,195,0
LDL (standard GWA),195,195,0,0,195,0
Gut microbial network clusters (Pink (at 1 year) x Homesmokers interaction,195,0,195,0,195,195
Granulocyte count,195,195,0,0,195,0
Liver enzyme levels (alanine transaminase),195,189,6,0,195,6
Gut microbial network clusters (Purple (at 1 year) x Household furry pet cat (3 Months) interaction,194,0,194,0,194,194
Cholesteryl Esters to Total Lipids in Small HDL percentage,193,17,176,0,193,176
Phospholipids to Total Lipids in Small HDL percentage,193,57,136,0,193,136
Free Cholesterol to Total Lipids in Large HDL percentage,193,30,163,0,193,163
"estimated glomerular filtration rate (eGFR, maximum, inv-norm transformed)",192,192,0,0,192,0
Urea levels,192,9,182,1,191,183
Cholesterol to Total Lipids in Large LDL percentage,192,22,170,0,192,170
"What is your weight? (pounds, inv-normal transformed)",191,191,0,0,191,0
"hemoglobin (maximum, inv-norm transformed)",191,191,0,0,191,0
Spherical equivalent or myopia (age of diagnosis),191,0,191,0,191,191
Medication use (drugs used in diabetes),191,191,0,0,191,0
Total lipids in small VLDL,190,26,164,0,190,164
Cancer (pleiotropy),190,190,0,0,190,0
Hay fever and/or eczema,190,190,0,0,190,0
"Basophil (fraction, mean, inv-norm transformed)",190,190,0,0,190,0
Cholesteryl Esters to Total Lipids in Small VLDL percentage,190,33,157,0,190,157
"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)",189,189,0,0,189,0
"creatinine (maximum, inv-norm transformed)",189,189,0,0,189,0
Atopic asthma,188,188,0,0,188,0
Graves' disease,188,24,164,0,188,164
Mosquito bite size,188,188,0,0,188,0
Direct low density lipoprotein levels (UKB data field 30780),187,187,0,0,187,0
Irritable bowel syndrome (MTAG),187,187,0,0,187,0
Age at menopause,187,187,0,0,187,0
Osteoarthritis of the hip or knee,187,20,167,0,187,167
Lobe attachment (rater-scored or self-reported),186,186,0,0,186,0
Tyrosine levels,186,51,135,0,186,135
"red blood cell count (RBC, minimum, inv-norm transformed)",185,185,0,0,185,0
Peripheral arterial disease (traffic-related air pollution interaction),185,185,0,0,185,0
Cigarettes smoked per day (MTAG),185,185,0,0,185,0
Osteoarthritis (with total hip replacement),184,12,172,0,184,172
FEV1 x serum 25-hydroxyvitamin D interaction in never smokers (2df test),184,0,184,0,184,184
Colonoscopy-negative controls vs population controls,184,184,0,0,184,0
Low myopia vs hyperopia,183,183,0,0,183,0
Total bilirubin levels (UKB data field 30840),183,183,0,0,183,0
"red cell diameter width (RDW, maximum, inv-norm transformed)",182,182,0,0,182,0
Macular thickness,182,182,0,0,182,0
Triacylglycerol 36:0(FA12:0) (Model 1),182,182,0,0,182,0
Subjective well-being,182,182,0,0,182,0
Alzheimer's disease or related dementias,182,182,0,0,182,0
"triglyceride (maximum, inv-norm transformed)",180,180,0,0,180,0
Cognitive function (baseline),180,180,0,0,180,0
Cholesteryl Esters to Total Lipids in IDL percentage,180,28,152,0,180,152
Total esterified cholesterol levels,179,58,121,0,179,121
Triglycerides in large HDL,179,24,155,0,179,155
Diabetes mellitus (PheCode 250),179,179,0,0,179,0
"COVID-19 (hospitalized vs tested, not hospitalized)",179,0,179,0,179,179
Total body bone mineral density,178,178,0,0,178,0
Concentration of very small VLDL particles,178,34,144,0,178,144
"Blood urea nitrogen (BUN, mean, inv-norm transformed)",177,177,0,0,177,0
"estimated glomerular filtration rate (eGFR, minimum, inv-norm transformed)",177,177,0,0,177,0
Inflammatory bowel disease (MTAG),177,177,0,0,177,0
IgA nephropathy,177,177,0,0,177,0
Lifetime smoking index,176,176,0,0,176,0
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive),176,18,158,0,176,158
Brain shape (segment 1),176,176,0,0,176,0
Postmenopausal breast cancer,175,175,0,0,175,0
Cholesteryl Esters to Total Lipids in Very Large HDL percentage,175,27,148,0,175,148
Heart failure (MTAG),175,175,0,0,175,0
Glaucoma,174,174,0,0,174,0
Triglycerides to Total Lipids in Very Large VLDL percentage,173,16,157,0,173,157
Medication use (HMG CoA reductase inhibitors),173,173,0,0,173,0
Systolic blood pressure (standard GWA),173,173,0,0,173,0
Concentration of medium VLDL particles,173,55,118,0,173,118
Urea levels (UKB data field 30670),173,173,0,0,173,0
"Alzheimer's disease, proxy Alzheimer's disease or related dementias",173,173,0,0,173,0
Offspring birth weight,172,172,0,0,172,0
"lymphocyte (fraction, maximum, inv-norm transformed)",172,172,0,0,172,0
Omega-6 fatty acid percentage of total fatty acids,172,172,0,0,172,0
"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",171,50,121,0,171,121
Ratio of triglycerides to phosphoglycerides,171,103,68,0,171,68
"hematocrit (mean, inv-norm transformed)",171,171,0,0,171,0
Lung cancer in ever smokers,170,170,0,0,170,0
Serum phosphate levels,170,1,169,0,170,169
"eosinophil (fraction, minimum, inv-norm transformed)",170,170,0,0,170,0
Pilocytic astrocytoma,169,169,0,0,169,0
Phospholipids in very small VLDL,169,23,146,0,169,146
"lymphocyte (absolute count, mean, inv-norm transformed)",169,169,0,0,169,0
Free cholesterol to total lipids ratio in small LDL,169,100,69,0,169,69
Retinal vascular fractal dimension,169,169,0,0,169,0
Bipolar disorder and schizophrenia,168,168,0,0,168,0
Benign nodular goiter,168,0,168,0,168,168
Cholesterol levels in very large VLDL,168,46,122,0,168,122
Forced vital capacity FVC Z score (UKB data field 20257),168,168,0,0,168,0
Free Cholesterol to Total Lipids in IDL percentage,167,24,143,0,167,143
Concentration of VLDL particles,167,57,110,0,167,110
Cholesterol in Large VLDL,167,30,137,0,167,137
Free cholesterol to total lipids ratio in large LDL,166,94,72,0,166,72
Lung adenocarcinoma,166,166,0,0,166,0
Uric acid levels,166,153,13,0,166,13
Total phospholipid levels in lipoprotein particles,166,35,131,0,166,131
Free cholesterol to total lipids ratio in very large HDL,165,123,42,0,165,42
Free cholesterol in IDL,165,19,146,0,165,146
"hemoglobin (mean, inv-norm transformed)",165,165,0,0,165,0
Free cholesterol to total lipids ratio in medium LDL,165,93,72,0,165,72
Gout (PheCode 274.1),165,165,0,0,165,0
Node-level brain connectivity (multivariate analysis),164,164,0,0,164,0
"lymphocyte (fraction, mean, inv-norm transformed)",164,164,0,0,164,0
Phospholipids to Total Lipids in Medium VLDL percentage,164,20,144,0,164,144
"triglyceride (minimum, inv-norm transformed)",164,164,0,0,164,0
Hypothyroidism or rheumatoid arthritis (pleiotropy),163,163,0,0,163,0
Sphingomyelins levels,163,0,163,0,163,163
Primary angle-closure glaucoma (MTAG),163,163,0,0,163,0
Gut microbial network clusters (Cyan (at 3 months) x Any Breastfeeding (3 Months) interaction,163,0,163,0,163,163
Pain intensity (without opioid use disorder),162,162,0,0,162,0
Medication use (diuretics),162,162,0,0,162,0
Complement factor H-related protein 3 levels,162,162,0,0,162,0
Phospholipids in small VLDL,162,22,140,0,162,140
Total lipids in very small VLDL,161,23,138,0,161,138
Squamous cell lung carcinoma,161,161,0,0,161,0
Coronary heart disease,161,105,56,0,161,56
Valine levels,161,39,122,0,161,122
